Data;Mês;Ano;Mês(N);Dia da Semana;Aplicativo;Corridas Feitas;Km Rodados;Tempo Online;Valor Bruto;Média Valor/Km;Média Valor/Horas;Combustível;%Combustível/Valor bruto;Manutenção;Bônus/ Missão;Gorjeta;Lucro
17/10/2025;Outubro;2025;10;Sexta-Feira;Uber;11;82,00 Km;03:40:00;R$ 143,00;R$ 1,74;R$ 39,00;R$ 50,00;35%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 78,00
18/10/2025;Outubro;2025;10;Sábado;Uber;8;112,00 Km;04:09:00;R$ 153,04;R$ 1,37;R$ 36,88;R$ 50,00;33%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 88,04
19/10/2025;Outubro;2025;10;Domingo;Uber;11;93,00 Km;03:53:00;R$ 214,98;R$ 2,31;R$ 55,36;R$ 50,00;23%;R$ 15,00;R$ 35,00;R$ 0,00;R$ 184,98
21/10/2025;Outubro;2025;10;Terça-Feira;Uber;27;171,00 Km;08:07:00;R$ 288,00;R$ 1,68;R$ 35,48;R$ 100,00;35%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 173,00
24/10/2025;Outubro;2025;10;Sexta-Feira;Uber;14;130,00 Km;05:53:00;R$ 201,06;R$ 1,55;R$ 34,17;R$ 50,00;25%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 136,06
26/10/2025;Outubro;2025;10;Domingo;Uber;26;188,00 Km;07:32:00;R$ 399,58;R$ 2,13;R$ 53,04;R$ 170,00;43%;R$ 15,00;R$ 70,00;R$ 0,00;R$ 284,58
03/11/2025;Novembro;2025;11;Segunda-Feira;Uber;7;83,00 Km;03:22:00;R$ 116,80;R$ 1,41;R$ 34,69;R$ 100,00;86%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 1,80
05/11/2025;Novembro;2025;11;Quarta-Feira;Uber;20;170,00 Km;07:57:00;R$ 245,26;R$ 1,44;R$ 30,85;R$ 50,00;20%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 180,26
08/11/2025;Novembro;2025;11;Sábado;Uber;30;216,00 Km;09:34:00;R$ 376,51;R$ 1,74;R$ 39,36;R$ 165,00;44%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 196,51
09/11/2025;Novembro;2025;11;Domingo;Uber;6;38,00 Km;01:31:00;R$ 58,30;R$ 1,53;R$ 38,44;R$ 150,00;257%;R$ 15,00;R$ 0,00;R$ 0,00;-R$ 106,70
11/11/2025;Novembro;2025;11;Terça-Feira;Uber;21;126,00 Km;06:17:00;R$ 181,69;R$ 1,44;R$ 28,92;R$ 0,00;0%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 166,69
12/11/2025;Novembro;2025;11;Quarta-Feira;Uber;11;59,00 Km;03:17:00;R$ 103,21;R$ 1,75;R$ 31,43;R$ 0,00;0%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 88,21
13/11/2025;Novembro;2025;11;Quinta-Feira;Uber;11;165,00 Km;08:33:00;R$ 233,76;R$ 1,42;R$ 27,34;R$ 146,20;63%;R$ 15,00;R$ 0,00;R$ 7,00;R$ 79,56
15/11/2025;Novembro;2025;11;Sábado;Uber;22;136,00 Km;07:19:00;R$ 238,43;R$ 1,75;R$ 32,59;R$ 100,00;42%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 123,43
16/11/2025;Novembro;2025;11;Domingo;Uber;5;44,00 Km;03:01:00;R$ 72,09;R$ 1,64;R$ 23,90;R$ 100,00;139%;R$ 15,00;R$ 0,00;R$ 0,00;-R$ 42,91
25/11/2025;Novembro;2025;11;Terça-Feira;Uber;6;50,00 Km;02:36:00;R$ 84,02;R$ 1,68;R$ 32,32;R$ 50,00;60%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 19,02
27/11/2025;Novembro;2025;11;Quinta-Feira;Uber;8;94,00 Km;03:45:00;R$ 152,61;R$ 1,62;R$ 40,70;R$ 50,00;33%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 87,61
28/11/2025;Novembro;2025;11;Sexta-Feira;Uber;7;113,00 Km;04:42:00;R$ 179,36;R$ 1,59;R$ 38,16;R$ 70,00;39%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 94,36
02/12/2025;Dezembro;2025;12;Terça-Feira;Uber;10;69,00 Km;04:43:00;R$ 165,06;R$ 2,39;R$ 35,00;R$ 50,00;30%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 100,06
03/12/2025;Dezembro;2025;12;Quarta-Feira;Uber;4;58,00 Km;02:48:00;R$ 83,54;R$ 1,44;R$ 29,84;R$ 50,00;60%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 18,54
05/12/2025;Dezembro;2025;12;Sexta-Feira;Uber;6;77,00 Km;03:35:00;R$ 158,02;R$ 2,05;R$ 44,10;R$ 70,00;44%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 73,02
07/12/2025;Dezembro;2025;12;Domingo;Uber;5;49,00 Km;02:15:00;R$ 109,73;R$ 2,24;R$ 48,77;R$ 0,00;0%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 94,73
09/12/2025;Dezembro;2025;12;Terça-Feira;Uber;6;51,00 Km;03:29:00;R$ 117,11;R$ 2,30;R$ 33,62;R$ 50,00;43%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 52,11
12/12/2025;Dezembro;2025;12;Sexta-Feira;Uber;6;100,00 Km;02:57:00;R$ 154,18;R$ 1,54;R$ 52,26;R$ 50,00;32%;R$ 15,00;R$ 0,00;R$ 0,00;R$ 89,18
15/12/2025;Dezembro;2025;12;Segunda-Feira;Uber;5;61,00 Km;02:15:00;R$ 93,10;R$ 1,53;R$ 41,38;R$ 0,00;0%;R$ 15,00;R$ 0,00;R$ 5,00;R$ 83,10
